Name,Age,Employment_Years,Annual_Income,Credit_Score,Loan_Amount,Loan_Purpose,Past_Defaults,Has_Criminal_Record,Loan_Approved
Kenneth Barker,43,10,104196.02,827,14842.72,Personal,0,1,1
Louis Scott,30,9,114462.59,366,12053.95,Business,4,1,0
Lynn Anderson,29,0,123841.05,378,40837.06,Car,2,0,0
Clifford Conner,24,1,30059.15,333,28263.91,Personal,2,1,0
Yolanda Duke,39,15,111596.23,435,40002.36,Car,0,0,0
Angel Morrison,28,7,57619.11,457,26214.78,Personal,4,1,0
Claire Johnson,31,8,113569.5,679,13186.59,Home,1,0,1
Matthew Little,56,1,116056.35,665,35938.99,Business,1,1,0
Manuel Gross,47,12,22190.98,659,17789.06,Personal,3,0,0
Eric Townsend,32,8,96615.72,753,17781.19,Home,4,1,0
Eric Guzman,38,18,57670.01,627,12696.42,Personal,1,1,0
Raymond Gonzalez,22,0,84145.31,613,15788.15,Business,0,0,0
Isaac Haley,25,3,128095.26,617,32795.27,Home,2,0,0
Brian Gonzales,31,8,24258.35,631,21864.46,Personal,3,0,0
Maria Robertson,28,6,38534.8,336,44147.27,Car,2,0,0
John Dean,26,6,138498.72,520,40156.79,Business,0,0,1
Julie Lin,21,0,121158.28,436,47521.85,Business,1,1,0
Michael Elliott,49,23,112812.28,707,13577.06,Home,1,1,0
Felicia Johnson,27,2,63299.96,340,29860.61,Home,0,1,0
Jennifer English,36,13,38044.43,411,48975.26,Personal,5,0,0
Betty King,28,3,131417.15,692,22621.94,Car,3,1,0
Richard Carpenter,61,12,29099.25,731,11850.48,Home,2,0,0
Eric Coleman,40,15,40188.86,338,19017.89,Business,2,1,0
Scott Carter,34,13,45407.42,785,27832.94,Business,3,0,0
Cory Davis,22,1,42647.74,761,10640.71,Home,5,1,0
Sandra Reid,46,15,86495.53,617,39985.73,Personal,0,0,0
Elizabeth Kim,23,0,75108.54,799,31840.05,Business,1,0,0
Maria Berry DDS,38,6,79750.43,777,30926.07,Car,3,1,0
David Henderson,46,15,99156.28,533,45146.93,Education,3,0,0
Charles Wood,52,32,35932.45,385,43180.39,Personal,4,0,0
Nicole Palmer,54,25,121830.58,711,44936.77,Personal,3,1,0
Raymond Yu,49,19,104896.1,841,19519.94,Education,1,1,1
Brendan James,21,1,94963.14,389,26089.21,Car,1,1,0
Melanie Howell,46,11,84546.18,578,14239.82,Car,4,1,0
Kim Green,29,0,91954.79,571,47534.95,Education,5,1,0
Curtis Lamb,25,5,147354.95,697,12694.36,Education,3,1,0
Mr. Peter Powell,22,1,94322.8,565,8379.31,Car,4,1,0
Martin Nunez,34,5,59344.53,682,48945.35,Education,3,0,0
Rebecca Gibson,65,34,69401.4,727,22856.95,Car,2,1,0
Bryan Gibson,49,16,46605.13,792,19181.04,Business,4,1,0
Sarah Black,60,36,30066.87,322,36203.96,Business,2,0,0
Rachel Cooper,42,7,79374.45,557,37726.16,Home,2,0,0
Sarah Oneal,23,1,84506.96,574,28957.35,Business,3,1,0
Emma Taylor,27,3,136624.93,674,49185.37,Personal,5,0,0
Kim Cooper,59,30,26702.18,743,16908.95,Home,0,0,0
Lori Carter,47,11,56764.69,376,12728.15,Car,2,1,0
Christopher Patrick,40,20,100350.86,363,49703.69,Personal,1,1,0
Steven Snyder,46,13,45111.08,452,45346.66,Car,5,0,0
Bryan Page,62,7,29186.1,623,20526.75,Car,2,0,0
Michelle Brown,54,13,138972.13,776,14282.37,Car,3,0,1
Patrick Chase,38,6,143572.09,406,45999.27,Car,0,0,0
Monica Mccarthy,24,0,87674.26,440,7176.05,Business,4,0,0
Susan Gallegos,26,5,27046.11,820,47073.05,Home,2,1,0
Raymond Shannon,51,13,84122.35,510,11109.72,Car,0,1,0
Mark Hughes,58,11,20913.35,328,15976.31,Business,0,1,0
Debbie Glenn,54,15,80057.68,527,30293.99,Business,3,1,0
Rhonda Freeman,40,7,33231.18,452,13979.82,Education,0,0,0
Cassandra Glover,40,10,37532.51,433,22438.5,Personal,3,1,0
Ryan Garcia,21,0,63658.81,809,17925.59,Education,4,0,0
Colin Taylor,35,0,90190.12,558,31851.13,Personal,4,1,0
John Santos,36,14,59436.61,548,46197.22,Home,5,1,0
Michele Lee,41,3,51213.86,660,37140.54,Home,2,0,0
Shelby Farmer,33,13,44077.97,380,29481.91,Education,3,1,0
Gail Ayers,37,0,82634.82,598,47524.87,Education,0,1,0
Zachary Davis,42,18,72355.57,620,25798.48,Personal,0,1,0
Linda Webster,23,0,76695.1,619,7198.36,Home,0,1,0
Donna Williams,53,22,57358.21,430,46231.64,Home,4,0,0
Mary Gill,31,8,45369.98,443,35434.33,Car,0,0,0
Matthew Jordan,33,5,49816.85,768,40221.31,Business,2,1,0
Victoria Caldwell,62,12,50958.53,504,20585.55,Personal,1,0,0
Sandra Decker,22,2,22043.85,536,6751.48,Home,5,1,0
Anthony Brooks,22,2,30861.28,611,45775.4,Personal,1,1,0
John Dean,48,13,115370.02,735,20962.3,Business,1,1,0
Tracy Smith,35,3,126058.37,829,11171.53,Education,2,0,1
Richard Cisneros,29,2,62300.02,477,12844.07,Business,1,1,0
Mr. Roger Rogers,59,9,32573.52,591,7008.52,Business,3,0,0
Annette Smith,49,17,23055.03,499,34192.38,Education,2,0,0
Maria Clark,22,0,124184.23,448,30911.41,Car,1,0,0
James Hernandez,42,5,58988.44,427,22217.99,Business,0,0,0
Jordan Christensen,35,1,72851.23,479,42895.77,Business,3,1,0
Christopher Rollins,49,29,114784.87,731,32296.68,Car,5,1,0
Stephanie Lin,27,2,29472.87,400,13742.6,Education,0,0,0
Jessica Irwin,62,20,88710.72,589,27538.12,Home,4,0,0
Julie Fernandez,38,15,34766.96,740,38012.17,Home,4,1,0
Paul Bright,51,15,27737.49,758,7804.89,Car,2,1,0
Brian Morgan,21,1,38074.44,719,28612.35,Home,0,0,0
Christopher Johnson,22,2,51896.83,527,23957.19,Home,5,0,0
Joyce Ramirez,45,17,89412.05,749,38138.66,Education,0,1,0
Jacqueline Jenkins,24,4,144917.4,450,25543.65,Car,2,0,0
Lawrence Grant,28,1,106491.07,389,27269.69,Business,5,0,0
Heather Rodriguez,62,7,73881.91,511,9210.59,Car,3,0,0
William Weber,65,20,29503.57,817,35276.29,Business,4,0,0
Victoria Leonard,27,6,67052.48,681,5291.34,Personal,3,1,0
Lindsay Aguilar,51,30,86413.16,400,20537.81,Education,3,1,0
Philip Berg,56,6,100147.12,567,44624.41,Business,4,1,0
Katherine Chapman,34,10,106653.13,570,21672.87,Education,3,0,0
David Holder,40,11,124339.43,812,8719.14,Business,5,1,0
Michael Smith,56,11,114719.94,822,32803.98,Education,2,1,0
Jacob Little,56,32,83755.83,563,38431.56,Car,4,0,0
Jonathan Scott,64,24,71401.28,781,11840.67,Education,0,1,0
Paul Knapp,41,0,119066.6,692,42822.7,Business,1,1,0
Jennifer Jackson,33,10,108914.22,555,20813.49,Education,2,0,0
Natasha Rodriguez,32,4,115347.67,774,32533.56,Car,5,1,0
Edward Wood,58,26,140228.97,833,13997.48,Car,3,0,1
Michelle Schneider,43,1,142754.75,428,44067.11,Business,0,0,0
Kenneth Cruz,39,1,98052.82,724,32840.67,Business,3,1,0
Audrey Perez,56,6,98698.67,473,29674.57,Education,4,0,0
Charles Lane,55,7,94512.48,713,31395.57,Education,0,0,1
David Taylor,50,25,97399.19,509,20909.05,Car,0,1,0
Mary Khan,58,19,123895.31,344,42535.37,Home,4,1,0
Michael Salinas,25,2,105207.83,433,24403.63,Business,2,1,0
Jamie Anderson,62,7,131319.44,359,45961.9,Business,5,0,0
Casey Meyers,38,14,39071.71,570,23433.29,Home,0,0,0
Bradley Hawkins,39,9,56420.2,434,33356.66,Business,1,1,0
Amy Hart,59,13,121830.68,300,27854.1,Education,0,1,0
Jose Terry,23,3,38277.05,693,5111.71,Business,4,1,0
Benjamin Flores,62,4,84214.32,787,26455.99,Home,3,0,0
Maria Berry,38,14,77022.33,463,40787.18,Business,3,1,0
Lisa Cabrera,31,4,134786.99,751,42381.28,Business,4,0,0
Brenda Russell,56,10,87125.92,574,16325.68,Home,5,1,0
Terry Wallace,39,18,58820.91,642,27689.61,Home,3,0,0
Matthew Yoder,27,0,123210.83,767,8927.55,Personal,5,1,0
Matthew Young,43,1,61031.23,492,35924.64,Home,5,0,0
Ashley Rich,43,11,127046.59,375,15999.22,Education,5,1,0
Kelly Smith,34,5,63809.86,407,19119.81,Education,3,0,0
George Price,23,0,28070.21,817,35453.11,Education,1,0,0
Ana Ellis,60,33,21506.49,493,47243.96,Business,2,1,0
Nichole Fuller,29,3,114036.49,744,42136.35,Car,0,0,1
Gary Lee,37,6,119879.33,496,39098.96,Car,3,1,0
Christopher Rowe,54,6,27170.74,496,38749.17,Education,2,1,0
Ashlee Schmidt,23,0,84490.65,796,38259.97,Personal,2,0,0
Ronald Robinson,47,13,147437.89,837,27049.6,Personal,3,1,1
Matthew Smith,36,14,98584.88,614,44982.79,Car,1,0,0
Roger Rios,31,8,138537.59,367,36418.03,Business,3,1,0
Carol Torres,57,3,55287.88,415,19431.92,Personal,4,1,0
Thomas Garcia,63,24,79884.46,653,18070.61,Education,2,0,0
Bradley Kaufman DVM,32,7,115712.09,742,11316.36,Home,3,1,0
James Brock,21,0,79454.84,590,20424.21,Car,4,0,0
Hector Sanders,40,3,142943.32,816,26397.68,Car,4,1,0
Jessica Peterson,63,20,83564.66,407,48934.17,Business,1,0,0
Jackson Torres,57,12,20109.07,601,12863.99,Business,0,0,0
Kevin Hudson,45,7,104192.75,331,45557.14,Business,1,1,0
Christopher Ramirez,40,4,124612.3,758,38006.42,Personal,2,0,1
Brandon Ingram,27,1,50303.88,411,12662.29,Home,0,0,0
Heather Delgado,31,10,85206.37,672,26323.37,Home,3,1,0
Daniel Levy,53,9,102517.5,775,10995.21,Business,1,0,1
Sarah Page,28,6,32729.34,309,16706.73,Car,0,0,0
Sarah Stevenson,42,13,136430.69,818,30254.59,Home,0,0,1
Mark Pugh,25,1,128618.06,476,39361.53,Home,5,0,0
Michele Lee,65,27,93247.48,582,7719.56,Car,2,1,0
Jessica Benson,51,12,26681.07,408,28989.34,Education,3,1,0
Theresa Ortiz,50,25,142962.13,764,13146.46,Home,3,1,1
Patrick Ortega,31,9,80085.64,331,7799.14,Personal,5,0,0
Linda Palmer,44,8,82418.77,311,38931.58,Car,3,1,0
Shelby Fuller,63,7,115245.97,543,25548.39,Education,0,1,0
Christopher Palmer,47,2,43878.21,371,31523.39,Car,4,0,0
Laurie Holden,36,16,34961.39,652,17229.28,Home,3,0,0
Jennifer Green,26,1,100364.66,347,48934.59,Car,3,1,0
Jill Boyle,51,17,48350.21,371,35339.69,Personal,3,0,0
Heather Snyder,43,12,87306.74,344,41220.84,Personal,1,0,0
Barry Bender,56,17,36927.62,728,42901.35,Education,2,0,0
Samantha Christensen,35,15,95032.92,747,31803.12,Home,2,0,0
Phillip Brown,53,22,94107.97,729,33619.59,Home,4,1,0
Amanda Floyd,37,14,69994.3,325,6339.76,Car,1,0,0
Jillian Davis,51,24,64072.71,351,13816.72,Personal,2,0,0
Nicole Anderson,23,2,44552.68,534,29321.38,Education,0,1,0
Luis Potts,39,3,130745.01,448,31898.83,Education,1,0,0
Jerome Wade,50,14,108633.61,365,47601.86,Car,4,0,0
Brenda Baxter,24,4,83824.97,320,40201.88,Personal,1,0,0
Peter Peters,22,0,98829.17,402,9506.49,Business,4,0,0
Alyssa Lee,55,15,117039.12,573,44676.65,Education,1,1,0
Raven Moses,63,27,40505.6,538,16098.76,Education,2,1,0
Jennifer Tanner,31,0,31366.08,739,10325.36,Home,5,0,0
Chad Gonzales,36,12,33610.16,832,5738.33,Business,3,1,0
Gregory Richardson,52,20,32443.88,455,8371.65,Car,2,1,0
Jeffery Nash,44,3,45053.01,831,10961.74,Personal,4,1,0
Paul Bell,51,7,95098.0,390,12250.16,Home,0,1,0
Frederick Chang,43,16,140335.21,439,7836.08,Business,5,0,0
Victoria Newman,52,27,26410.46,313,5065.06,Education,3,1,0
Wanda Williamson,36,5,68087.69,849,21081.49,Business,2,1,0
Howard Ward,42,11,37471.78,611,47504.77,Business,0,0,0
David Burke,31,2,119497.78,345,19316.63,Home,1,1,0
Jason Foley,25,2,91656.23,532,30251.78,Business,1,0,0
Michael Wilson,60,6,66634.34,422,38077.74,Business,5,0,0
Mrs. Amanda Allen DDS,43,15,144997.01,574,41685.13,Business,4,0,0
Michael Singleton,29,3,139649.21,609,10385.75,Home,1,1,0
Laura Terry,59,19,59699.37,570,15104.09,Home,3,1,0
Ethan Bradshaw,22,0,28078.59,424,30457.25,Car,5,1,0
Erin Arroyo,23,2,100520.29,810,14596.4,Home,5,1,0
Kelly Chambers,52,21,131009.94,373,17593.9,Car,1,0,0
Kimberly Anderson,47,18,88875.83,790,17475.39,Education,4,1,0
Nicole Matthews,56,0,135830.99,574,37972.41,Home,5,1,0
Elizabeth Chavez,62,28,85260.55,465,24085.97,Education,5,1,0
Jason Byrd,54,8,20784.06,846,48836.24,Home,5,1,0
Mrs. Mary Wells DVM,34,5,52530.64,363,19144.73,Home,4,0,0
Elizabeth Harris,25,1,65741.88,503,45828.79,Business,4,0,0
William Mccullough,21,1,29239.96,535,29857.39,Business,3,1,0
Taylor Martin,53,8,71481.12,757,31724.71,Car,5,1,0
Connie Miller,58,25,114943.11,680,19901.58,Car,3,1,0
Kayla Duran,29,6,32203.28,511,13310.93,Home,0,1,0
Rachel Wells,65,22,66873.11,840,13052.45,Home,0,0,1
Sheila Ramos,46,3,105566.62,317,44320.63,Car,1,1,0
William Pineda,46,8,133711.68,563,16947.58,Personal,0,0,1
Joe Hancock,47,24,148321.57,681,32862.07,Car,4,1,0
Alexis Woods,30,9,121580.15,323,6734.67,Home,4,0,0
Melissa Parker,58,2,24913.92,597,27664.87,Business,4,0,0
Lucas Anderson,54,26,117851.3,657,23557.72,Home,0,0,1
Jennifer White,39,9,136528.08,423,29602.25,Home,1,1,0
David Robles,21,1,112554.78,407,24847.39,Education,3,1,0
Heather Smith,49,9,82187.88,675,33576.27,Personal,0,1,0
Eric Miller,23,3,139092.7,653,35770.45,Personal,2,0,0
Laurie Harmon,58,24,62269.92,426,14704.86,Home,3,1,0
Jonathan Guerra,55,13,53838.28,324,6558.03,Personal,4,1,0
Jennifer Sweeney,59,0,131369.54,366,10949.02,Business,5,0,0
Becky Vega,60,12,46147.41,757,19224.94,Car,1,1,0
Paul Newman,52,15,123515.8,625,22504.86,Personal,4,1,0
Mark Harris,28,6,109138.45,458,24227.16,Education,1,1,0
Kenneth Armstrong,48,26,128173.63,387,47498.12,Home,4,1,0
Jill Ortiz,36,6,80965.06,478,31070.82,Education,2,0,0
Kyle Fuller,61,29,42067.55,566,6842.56,Business,4,1,0
Haley Lawrence,47,13,130722.77,493,10360.54,Car,3,1,0
Matthew Crane,40,0,126709.08,562,22342.06,Education,0,0,0
Brandon Matthews,33,8,56498.58,408,48245.08,Business,1,1,0
Christopher Li,27,5,59415.43,444,36894.28,Home,4,0,0
Jessica Hall,44,10,121292.43,742,10744.11,Home,3,0,0
Christopher Hicks,35,7,104604.78,577,25732.76,Car,0,0,0
Danielle Bailey,65,22,40312.61,430,47345.0,Personal,2,0,0
Jennifer Sanchez,45,25,91002.83,711,16079.68,Business,4,0,0
Timothy Hickman,48,18,82383.58,641,10567.49,Education,4,0,0
Mark Jones,64,3,111743.11,323,49539.74,Car,0,1,0
Ashley Lam,63,40,43296.88,334,9339.24,Personal,2,1,0
Wendy Cook,40,5,56622.04,630,20972.2,Home,3,0,0
Allison Hunter,31,10,100599.33,398,30770.29,Business,0,0,0
Timothy Ward,44,0,55415.89,682,10433.6,Car,5,0,0
Debra Wagner,35,15,40057.33,689,38940.51,Home,2,0,0
Michael Guerrero,46,18,66943.88,421,38211.73,Car,5,0,0
Tammy Thomas,29,7,139919.66,356,15740.69,Personal,4,0,0
Keith Galvan,40,18,125060.12,828,25020.89,Personal,4,0,1
Troy Craig,22,0,90879.98,506,41358.52,Personal,5,1,0
Debbie Warren,36,12,110697.96,499,41388.03,Business,3,1,0
Joseph Roach,56,31,135918.27,709,45157.49,Education,2,1,1
Theodore Norman,23,2,21250.81,436,35079.57,Education,2,0,0
Elizabeth Jones,56,6,87762.02,370,21930.11,Car,2,1,0
Ricardo Finley,61,19,48199.19,799,40850.34,Home,1,0,0
Hannah Barron,62,3,22481.14,578,37366.59,Education,4,0,0
Norma Mitchell,21,0,48035.82,425,35126.86,Education,5,0,0
Andrea Valentine,60,14,148583.17,714,40791.78,Education,1,0,1
Robert Blevins,50,28,136524.9,571,9896.03,Car,2,1,0
Barry Garcia,54,26,83549.67,388,6040.7,Education,0,1,0
Michelle Wright,34,8,34004.31,422,45162.6,Education,0,0,0
Stephen Vaughn,29,5,80261.12,711,27923.42,Business,3,1,0
Kimberly Cook DVM,62,10,90337.33,320,11640.1,Personal,0,1,0
Adam Harris,59,26,107400.54,529,28315.12,Business,3,1,0
Leonard Logan,55,13,67482.47,688,13339.98,Personal,4,1,0
Tammy Johnston,63,39,43498.73,832,17664.54,Car,3,1,0
Amber Spencer,25,3,144752.86,413,47217.99,Education,2,0,0
Joshua Neal,54,19,92440.64,587,15541.66,Home,2,0,0
Jason Perry,36,9,139650.49,792,23726.85,Education,5,1,0
Ronnie Kirk,64,44,24378.88,591,21152.52,Education,5,1,0
Angela Neal,32,4,129379.32,696,31104.28,Education,3,1,0
Dustin Baker,29,7,61415.63,486,12587.97,Car,2,1,0
Matthew Newman,32,2,95065.72,843,47355.01,Personal,3,1,0
Mr. Steven Buchanan,61,37,94556.83,849,25121.19,Education,5,1,0
Katherine Reed,51,2,104112.17,666,27996.5,Personal,3,1,0
Brian Andrews DDS,50,7,116969.72,537,29218.42,Home,0,0,0
Lisa Ashley,43,23,138081.98,414,42684.24,Home,3,1,0
Nicole Lewis,38,11,103127.97,714,11057.39,Car,3,1,0
Craig Anderson,32,1,41149.79,776,41098.83,Business,0,0,0
Jenna Hanson,35,8,24342.13,760,42686.97,Car,4,1,0
Kristine Fernandez,29,7,131981.73,505,33620.72,Education,2,1,0
Jennifer Tyler,36,5,55573.47,492,49451.51,Home,3,0,0
Gary Bullock,53,31,119141.28,804,13346.42,Business,3,1,1
John Reeves,48,11,42963.79,473,24597.62,Business,3,0,0
Mr. Andrew Short,31,1,22317.4,846,36952.9,Business,0,1,0
Lisa Mccoy,22,0,126420.69,490,16720.79,Car,5,0,0
Nicholas Mckinney,59,3,144687.22,649,48110.07,Personal,1,1,0
Michael Berg DVM,60,33,141056.27,386,8517.0,Business,2,0,0
Melissa Prince,22,2,149471.43,774,28478.65,Business,1,1,1
Christopher Silva,30,3,90201.57,747,19744.26,Business,5,1,0
John Sanchez,60,25,60504.42,781,46849.76,Personal,3,0,0
Jeffrey Wolfe,22,1,40835.26,746,34835.09,Business,1,0,0
William Gray,35,7,25883.1,744,23251.12,Education,1,0,0
Richard Johnson,37,3,95552.87,714,30314.22,Education,5,0,0
Robert Tucker,46,23,71812.36,600,44229.84,Personal,4,1,0
Kimberly Patterson,28,7,132062.96,570,20846.35,Business,1,0,0
Paul Jordan,39,1,84022.76,403,13136.42,Education,3,1,0
Russell Key,54,18,136997.46,780,25745.32,Business,1,0,1
Jean Peterson,49,16,86962.56,724,19223.33,Personal,5,0,0
Mary Myers,58,22,21437.43,708,10127.82,Car,4,1,0
Wanda Glenn,47,15,22661.94,798,46952.13,Personal,0,0,0
Angela Lewis,36,15,29882.2,722,30895.85,Home,3,0,0
Anthony Harris,62,35,131950.34,445,13085.64,Business,0,1,0
Carrie Anderson,56,1,43451.94,560,49257.21,Home,5,0,0
Stacie Curtis,53,25,62088.88,464,42352.88,Car,5,1,0
Ryan Williams,60,19,68074.27,845,49937.79,Business,1,1,0
Joseph Harris,63,13,55245.99,783,21754.03,Home,4,1,0
Jacob Rodriguez,36,8,70311.25,421,38245.17,Home,0,1,0
Javier Martinez,23,1,108445.12,831,34097.46,Education,0,1,0
Kyle Combs,52,12,141377.03,414,38976.11,Home,3,0,0
Cassie Barnes,35,0,95910.61,510,40070.69,Business,5,0,0
Shelly Huff,38,10,86731.18,490,31154.51,Home,4,0,0
Martin Heath,38,15,36377.71,319,18859.95,Car,3,1,0
George Strickland,40,11,103796.46,390,44131.09,Personal,1,0,0
Traci Camacho,41,1,61927.75,570,30723.0,Education,2,1,0
Cynthia Ramirez,23,3,36691.67,551,32527.48,Business,3,1,0
Evan Bowen,27,6,60976.84,685,26654.78,Business,3,0,0
Amber Lawson,27,6,93056.39,577,10877.41,Home,3,1,0
Stephen Carter,27,6,74727.27,849,36727.3,Car,2,1,0
Michael Aguilar,47,7,93063.08,760,36220.46,Car,2,1,0
Miguel Austin,44,22,148987.53,597,5768.05,Education,2,0,1
Alexandra Lee,36,5,115669.27,563,12126.34,Car,1,1,0
Jacob Riley,36,8,119609.86,332,10006.59,Personal,5,0,0
Megan Spencer,43,6,27340.86,516,45582.32,Home,2,1,0
Sharon Ramos,53,0,30295.3,466,13582.34,Car,1,0,0
Jasmin Thomas DVM,58,36,114295.4,715,21101.04,Car,3,0,1
Cory Murphy,47,14,148867.22,840,6071.36,Personal,1,1,1
Thomas Barker,62,5,116899.62,694,8488.52,Car,3,0,0
Zachary Cooper,59,39,48445.72,721,30844.08,Education,4,1,0
Jacob Klein,45,23,118792.39,475,11139.56,Business,3,0,0
Elizabeth Gray,34,11,141061.5,438,40369.81,Personal,4,0,0
Daniel Moore,40,10,121198.36,421,11363.59,Home,4,0,0
Amber Anderson,28,6,30846.91,693,18020.44,Education,0,1,0
Jennifer Stark,57,7,60389.13,798,25776.87,Education,5,0,0
John Olsen,25,0,124098.27,536,37562.58,Education,3,0,0
Tyler Williams,25,2,97701.7,565,8959.67,Home,4,1,0
Rebecca Mcdaniel,44,6,104184.29,728,22023.71,Car,3,1,0
Cameron Hodge,34,5,141122.44,764,27615.44,Car,4,0,0
Monica Davis,59,8,74879.45,393,12675.5,Home,2,0,0
Kathleen Bautista,32,0,36071.2,616,44101.79,Education,3,1,0
Duane Lucas,21,1,119327.35,847,40483.31,Home,1,1,0
Brandon Conner,53,14,115761.03,301,44215.3,Education,4,0,0
Maureen Sexton,40,3,128888.85,756,11919.61,Education,2,1,0
Dawn Cole,38,12,81959.65,446,13505.07,Home,3,0,0
James Buck,65,38,33275.52,602,18061.72,Personal,5,0,0
Samuel Cantrell,51,23,105703.63,411,49349.4,Education,5,0,0
Alejandro Nelson,63,24,105133.8,521,39374.0,Personal,0,1,0
Travis Black,53,3,135137.46,522,48043.54,Home,0,1,0
Brian Gross,35,2,28015.95,829,33495.23,Personal,0,1,0
Ronald Welch,56,10,48876.46,515,46611.73,Education,3,0,0
Lindsey Cohen,53,1,117852.18,348,43515.47,Education,3,1,0
Brittany Thomas,57,9,29051.0,303,10003.2,Business,0,1,0
Eric Walsh,41,1,98224.83,321,38532.81,Education,4,1,0
Margaret Mccullough,64,17,93062.54,377,5876.26,Personal,3,0,0
Ronald Buckley,54,17,39585.08,826,5338.97,Home,2,0,0
Marissa Kim,33,11,117897.86,392,17167.87,Personal,4,1,0
Melanie Mcdaniel,65,13,146922.5,427,39263.25,Home,1,0,0
Ricardo Ballard,58,32,44378.77,388,28457.05,Business,3,1,0
Ryan Peterson,57,36,126104.71,762,6887.44,Business,2,0,1
Pamela Johnson,43,13,140507.5,402,5463.3,Home,4,1,0
Corey Davila,51,9,24093.86,362,5696.33,Business,3,0,0
John Robertson,61,23,74029.14,500,40504.59,Education,2,0,0
Deborah Lowe,39,17,20336.28,419,6892.86,Car,3,0,0
Cheyenne Wagner,64,17,53632.03,303,15707.53,Education,2,0,0
Tyler Hill,21,0,84539.84,821,44254.75,Business,3,1,0
Allison Anderson,30,10,81486.35,306,43382.23,Education,4,0,0
Marie Johnson,61,19,54440.99,355,15426.89,Personal,3,0,0
Aaron Taylor,34,8,49629.71,759,21473.06,Education,2,1,0
Andrea Vazquez,39,19,95503.61,595,24632.0,Business,3,1,0
Kimberly Williams,57,19,70779.43,345,43097.39,Business,5,1,0
Kevin Mora,26,1,91864.62,818,32144.76,Personal,1,1,0
Sheila Moran,37,7,140893.32,460,22889.81,Business,5,0,0
Paula Taylor,24,4,63681.64,583,6816.59,Car,4,1,0
Elizabeth Hinton,37,7,103541.25,602,21064.91,Personal,1,1,0
Ashley Ford,40,5,57627.96,481,19629.67,Business,3,0,0
Douglas French,59,12,146452.72,503,21335.59,Personal,2,0,0
Brent Lamb,57,19,56393.08,500,34330.36,Personal,5,1,0
David Calderon,54,8,34573.14,610,35266.07,Business,2,0,0
Michele Anderson,57,5,58208.72,841,30455.74,Education,3,1,0
Jason Jones,61,18,44807.75,560,41829.13,Education,0,0,0
Michelle James,46,23,80565.21,341,42524.46,Car,0,0,0
Dana Duran,21,0,132473.89,490,47178.8,Car,4,0,0
Natalie Walker,62,11,108489.88,820,41824.38,Business,5,0,0
Scott Hodges,57,12,125422.09,390,41557.96,Business,4,0,0
Sandra Ramos,60,12,72745.13,799,43784.84,Car,5,0,0
Joseph Navarro,27,0,47415.49,745,19142.55,Car,5,0,0
Kenneth Wilkins,30,1,90254.64,700,27430.01,Home,2,0,0
Juan Chambers MD,64,32,110161.98,773,29191.36,Home,4,0,1
Anthony Beard,64,33,100786.85,408,42836.17,Car,0,1,0
Jacqueline Wilson,61,39,43551.11,672,21942.14,Personal,3,1,0
Savannah Bright,57,34,79676.61,319,37923.15,Education,3,1,0
Kristopher Johnson,59,22,31381.04,840,42059.5,Personal,1,0,0
Jeffrey Garcia,45,25,31427.49,553,16380.81,Car,1,1,0
Patricia Rojas,64,6,34653.27,759,28347.13,Personal,2,0,0
April Nichols,60,38,81636.09,445,38220.9,Car,5,0,0
Daniel Lara,34,7,42965.18,365,35878.17,Education,3,0,0
Kathy Marshall,43,18,124102.92,783,49819.21,Car,5,0,0
Daniel Smith,55,2,37204.29,383,31982.82,Business,0,0,0
Lindsey Erickson,52,19,87918.96,842,8497.56,Personal,4,1,0
Andrea Murphy,65,3,109008.23,380,28525.16,Car,1,0,0
Christopher Ramirez,57,15,96823.56,651,43424.63,Business,4,1,0
Lisa Martinez,48,20,88844.29,779,26726.91,Business,5,1,0
Ryan Reed,53,26,112230.84,726,42640.56,Car,3,1,0
Angela Calderon,22,2,23892.86,789,23550.69,Personal,2,1,0
Emily Paul,42,8,140479.73,831,40940.26,Home,2,0,1
Breanna Lucas,57,3,49312.35,734,30597.99,Car,1,1,0
Michelle Adams,37,6,23136.38,341,37152.97,Car,0,1,0
Eric Warner,36,1,89326.4,533,33686.1,Home,2,1,0
Michele Williams,34,0,57741.59,586,24522.17,Home,3,1,0
Alexander Lopez,42,21,119696.31,442,19312.77,Personal,4,0,0
Ricardo Graves,39,13,133180.49,572,22526.0,Personal,3,1,0
Annette Woods,34,4,143241.38,842,47347.29,Personal,4,1,0
Cynthia Haley,62,37,60013.08,571,26520.64,Education,3,0,0
Theresa Boyd,36,9,48364.52,633,42281.91,Business,3,1,0
Deborah Miller,55,34,69972.65,718,33032.28,Car,0,1,0
Charlene Lee,65,30,149921.21,765,37888.79,Home,4,1,1
Gary Clark,64,31,86296.6,567,15469.59,Education,1,0,0
Erika Bird,30,5,122242.4,623,39144.29,Car,1,1,0
Ashlee Hernandez,25,0,87676.33,654,23497.8,Personal,1,0,0
Brandy Sparks,22,2,71169.39,311,21317.91,Car,4,0,0
Mr. Michael Walker,42,19,109090.66,762,35000.55,Education,3,1,0
Jamie Russell,51,22,40309.16,452,47347.1,Car,3,0,0
Vanessa Kramer,36,11,113206.08,355,38493.17,Education,1,1,0
Annette Haynes,55,28,25253.44,799,10866.08,Home,2,1,0
Timothy Lopez,22,2,126395.04,499,29192.58,Personal,0,0,0
